ID;IAT_D2;training_condition;IAT_order;Reverse_Scored_IAT_D2
126; 0,158367779;Extinction;Learning_Inconsistent_First;-0,158367779
141;-0,197765665;Extinction;Learning_Consistent_First;-0,197765665
145; 0,538318877;Extinction;Learning_Consistent_First; 0,538318877
155;-0,008312989;Extinction;Learning_Consistent_First;-0,008312989
172;-0,161007635;Extinction;Learning_Inconsistent_First; 0,161007635
185;-0,220460090;Extinction;Learning_Consistent_First;-0,220460090
192; 0,468868693;Acquisition_Only;Learning_Inconsistent_First;-0,468868693
192; 0,468868693;Extinction;Learning_Inconsistent_First;-0,468868693
194;-0,672856377;Extinction;Learning_Inconsistent_First; 0,672856377
199; 0,362193141;Extinction;Learning_Consistent_First; 0,362193141
201; 0,525332672;Extinction;Learning_Consistent_First; 0,525332672
206;-0,535475917;Extinction;Learning_Inconsistent_First; 0,535475917
207;-0,140327186;Extinction;Learning_Consistent_First;-0,140327186
211; 0,231790135;Extinction;Learning_Consistent_First; 0,231790135
213;-0,423440301;Extinction;Learning_Consistent_First;-0,423440301
214;-0,486770640;Extinction;Learning_Inconsistent_First; 0,486770640
215;-0,456095219;Extinction;Learning_Consistent_First;-0,456095219
217;-0,554221038;Extinction;Learning_Consistent_First;-0,554221038
218;-0,016043805;Extinction;Learning_Inconsistent_First; 0,016043805
220; 0,563313685;Extinction;Learning_Inconsistent_First;-0,563313685
223;-0,037329905;Extinction;Learning_Consistent_First;-0,037329905
